"","Scientific_Name","Also_known_as","Genus","Family","Life_cycle","Origin","Habitat","Bloom_season","Plant_height","Wetland_Indicator_Status","Flower_shape_1","Leaf_attachment_1","Leaf_type_1","Fruit_type_1","Status","Cluster_type_1","Flower_shape_2","Cluster_type_2","Leaf_type_2","Fruiting_season","Leaf_attachment_2","Flower_shape_3","Fruit_type_2","Leaf_type_3","Leaf_type_4","Cluster_type_3","Flower_shape_4","Leaf_attachment_3"
"316","Carex formosa","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average moisture; rich deciduous forest,  ravines,  floodplains",NA,"12 to 30 inches","GP: FAC
MW: FAC
NCNE: FAC",NA,"alternate","simple","seed without plume","State Endangered","spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"317","Carex garberi","Garber's Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet sandy,  gravelly or marly soils; shores,  fens",NA,"4 to 16 inches","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed without plume","State Threatened","spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"318","Carex gracillima","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade;",NA,"8 to 36 inches","GP: FACW
MW: FACU
NCNE: FACU",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"319","Carex granularis","Meadow Sedge, Granular Sedge, Pale Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; average to moist,  open soil; meadows,  fens,  shores,  ditches,  clearings,  edges of swamps and moist woods",NA,"6 to 24 inches","GP: OBL
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"320","Carex gravida","Heavy-fruited Sedge, Long-awned Bracted Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; average to dry; prairies,  ditches,  open woods,  rock outcrops",NA,"12 to 40 inches","GP: FACW
MW: FACU
NCNE: FACU","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"321","Carex grayi","Common Bur Sedge, Morning Star Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist soil; floodplain forest,  shady seeps",NA,"1 to 3 feet","GP: FACW
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume","State Special Concern","round",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"322","Carex grisea","Inflated Narrow-leaf Sedge, Ambiguous Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to moist soil; deciduous woods,  floodplain forest,  forested stream and river banks,  woodland ponds",NA,"6 to 36 inches","GP: FACW
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"323","Carex gynandra","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to wet; swamps,  bogs,  along shores,  wet ditches,  floodplain forest",NA,"18 to 60 inches","GP: none
MW: FACW
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"324","Carex gynocrates","Feminine Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; wet; bogs,  conifer swamps,  alder thickets",NA,"2 to 10 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"325","Carex hallii","Deer Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; moist to wet calcareous or saline soil; prairies,  sedge meadows,  swales,",NA,"4 to 12 inches","GP: FAC
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed without plume","State Special Concern","spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"326","Carex haydenii","Cloud Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; prairies,  meadows,  marshes",NA,"","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"327","Carex hirtifolia","Pubescent Sedge, Hairy-leaved Sedge, Hairy Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to dry,  often disturbed soil; deciduous woods,  thickets,  wooded slopes,  trail edges",NA,"10 to 24 inches","none",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"328","Carex hitchcockiana","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; rocky or loamy soil; rich woods,  floodplain forest,  wooded bluffs,  wooded rocky slopes",NA,"6 to 24 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"329","Carex houghtoniana","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; disturbed sandy,  gravelly or rocky soil; roadsides,  railroads,  Jack pine stands,  dunes,  blowouts,  shores,  swamp edges",NA,"8 to 40 inches","none",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"330","Carex hystericina","Bottlebrush Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; shores,  wet ditches,  seeps,  marshes,  stream banks,  fens,  sedge meadows",NA,"10 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"331","Carex inops","Long-stolon Sedge, Sun Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; dry,  sandy soil; prairies,  bluffs,  barrens,  sandy slopes,  along railroads",NA,"6 to 20 inches","none",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"April - June","basal",NA,NA,NA,NA,NA,NA,NA
"332","Carex interior","","Carex","Cyperaceae (Sedge)","perennial woody","native","part shade, shade, sun; wet; swamps,  bogs,  fens,  shores,  wet meadows,  prairie swales,  wet ditches",NA,"8 to 36 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - July",NA,NA,NA,NA,NA,NA,NA,NA
"333","Carex intumescens","Bladder Sedge, Shining Bur Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; average to moist soil; open woods,  floodplain forests,  swamps,  thickets,  wet meadows,  shaded shores",NA,"12 to 30 inches","GP: OBL
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"334","Carex jamesii","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to moist soil; rich deciduous woods,  ravines,  floodplain forest",NA,"4 to 14 inches","none","indistinct","alternate","simple","seed without plume","State Threatened","spike",NA,NA,NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"335","Carex lacustris","Hairy Sedge, Lake-bank Sedge, Ripgut Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; shores,  marshes,  swamps,  wet meadows,  swales,  wet ditches,  riverbanks,  edges of bogs and fens",NA,"20 to 50 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"336","Carex laeviconica","Plains Slough Sedge, Long-tooth Lake Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; riverbanks,  marshes,  wet ditches,  shores,  floodplains,  wet meadows,  prairie potholes",NA,"12 to 42 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"337","Carex laevivaginata","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet often calcareous soil; river banks,  floodplain forest,  wet meadows,  swamps,  wooded seeps",NA,"15 to 32 inches","GP: none
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume","State Threatened","panicle",NA,"spike",NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"338","Carex lasiocarpa","Fen Wiregrass Sedge, Woolly-fruited Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; sedge meadows,  fens,  bogs,  lakeshores",NA,"16 to 48 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"339","Carex laxiculmis","Creeping Sedge, Loose-culmed Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist; rich woods,  stream banks,  ravines,  wooded bluffs",NA,"6 to 24 inches","none","indistinct","alternate","simple","seed_without_plume","State Threatened","spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"340","Carex lenticularis","Shore Sedge, Lenticular Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet sandy or rocky soil; river and lake shores",NA,"4 to 24 inches","GP: OBL
MW: none
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"July - August","basal",NA,NA,NA,NA,NA,NA,NA
"341","Carex leptalea","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist to wet; bogs,  swamps,  fens,  woods,  thickets,  peatlands,  wet meadows,  swales",NA,"4 to 28 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"342","Carex leptonervia","Fine-nerved Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; moist to wet; woods,  thickets",NA,"6 to 18 inches","GP: FAC
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"343","Carex limosa","Bog Sedge, Shore Sedge, Candle-lantern sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; bogs,  fens,  wet meadows,  shores",NA,"8 to 24 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"344","Carex livida","Pale Sedge, Lead-colored Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; fens,  floating mats,  peat bogs",NA,"6 to 16 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate",NA,"seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"345","Carex lupulina","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; forested swamps,  floodplains,  along shores,  wet meadows",NA,"8 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"346","Carex magellanica","Bog Sedge, Boreal Bog Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; bogs,  fens,  marshes,  peatlands",NA,"6 to 32 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"347","Carex media","Close-headed Sedge, Norway Sedge, Scandanavian Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist,  thin,  rocky soil; rock pools,  talus slopes,  wet meadows,  shrublands",NA,"6 to 24 inches","GP: FACW
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume","State Special Concern","spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"348","Carex merritt-fernaldii","","Carex","Cyperaceae (Sedge)","perennial","native","sun; dry sandy or rocky soil; rock outcrops,  cliffs,  rocky slopes,  open meadows",NA,"12 to 40 inches","none","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - August",NA,NA,NA,NA,NA,NA,NA,NA
"349","Carex michauxiana","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet,  peaty soil; peatlands,  fens,  bogs,  shores,  wet ditches,  wet meadows",NA,"6 to 28 inches","GP: none
MW: none
NCNE: OBL",NA,"alternate","simple","seed without plume","State Special Concern","round",NA,"spike",NA,"June - September","basal",NA,NA,NA,NA,NA,NA,NA
"350","Carex molesta","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to dry; prairies,  woodland edges,  wet meadows,  wooded slopes,  floodplain forest,  rock outcrops,  river banks",NA,"12 to 40 inches","GP: FACW
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - August",NA,NA,NA,NA,NA,NA,NA,NA
"351","Carex muehlenbergii","Sand Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; dry sandy soil; prairies,  dunes,  barrens,  railroads,  forest clearings and edges",NA,"8 to 36 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"352","Carex muskingumensis","Palm Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; wet; floodplain forest,  vernal pools",NA,"12 to 40 inches","GP: none
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed_without_plume","State Special Concern","spike",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"353","Carex novae-angliae","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to moist soil; hardwood and mixed forest",NA,"2 to 16 inches","GP: none
MW: none
NCNE: FACU","indistinct","alternate","simple","seed without plume","State Threatened","spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"354","Carex obtusata","Obtuse Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; dry sandy or gravelly soil; grasslands,  alluvial terraces,  beach ridges",NA,"2 to 10 inches","none",NA,"alternate","simple","seed without plume","State Special Concern","spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"355","Carex oligocarpa","Eastern Few-fruit Sedge, Rich Woods Sedge, Sparse-fruit Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to dry soil; rich woods,  wooded slopes,  wooded ravines",NA,"8 to 20 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"356","Carex oligosperma","Bog Wiregrass Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; bogs,  fens,  along shores",NA,"18 to 36 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"357","Carex ormostachya","Necklace Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; moist to dry; deciduous,  coniferous or mixed forest,  clearings,  bluffs,  disturbed soil",NA,"10 to 18 inches","none","indistinct","alternate","simple","seed without plume","State Special Concern","spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"358","Carex pallescens","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; average to moist rocky soil; forest edges,  meadows,  slopes",NA,"8 to 30 inches","GP: none
MW: FACW
NCNE: FAC","indistinct","alternate","simple","seed without plume","State Endangered","spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"359","Carex pauciflora","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; wet; sphagnum bogs,  peatlands,  conifer swamps,  floating mats",NA,"4 to 16 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"360","Carex peckii","","Carex","Cyperaceae (Sedge)",NA,"native","part shade, shade; dry to average moisture; deciduous woods,  mixed forests,  wooded bluffs,  rarely swamps and bogs",NA,"8 to 18 inches","none",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"361","Carex pedunculata","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist to dry deciduous woods and mixed forests",NA,"3 to 10 inches","GP: OBL
MW: OBL
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"April - May","basal",NA,NA,NA,NA,NA,NA,NA
"362","Carex pellita","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to wet sandy soil; marshes,  fens,  lakeshores,  wet meadows,  swales,  ditches",NA,"6 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate",NA,"seed without plume",NA,"spike",NA,NA,NA,"May - July","basal",NA,NA,NA,NA,NA,NA,NA
"363","Carex pensylvanica","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; dry to average moisture; woods,  woodland edges,  savannas",NA,"4 to 18 inches","none",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - June","basal",NA,NA,NA,NA,NA,NA,NA
"364","Carex plantaginea","Seersucker Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist; rich deciduous woods,  wooded slopes,  ravines",NA,"10 to 24 inches","none",NA,"basal","simple","seed without plume","State Endangered","spike",NA,NA,NA,"May - June",NA,NA,NA,NA,NA,NA,NA,NA
"365","Carex praegracilis","Freeway Sedge, Very Slender Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; moist to wet; prairie swales,  marshes,  wet meadows,  ditches,  shores,  rock outcrops",NA,"4 to 30 inches","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"366","Carex prairea","","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet calcareous soils; meadows,  fens,  marshes,  swales,  shores,  conifer swamps",NA,"12 to 40 inches","GP: OBL
MW: OBL
NCNE: FACW","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"367","Carex projecta","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist to wet; forests,  thickets,  meadows,  swamps,  swales,  shores,  river and creek banks",NA,"12 to 36 inches","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"July - August",NA,NA,NA,NA,NA,NA,NA,NA
"368","Carex pseudocyperus","False Bristly Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; along shores,  riverbanks,  swamps,  marshes,  swales,  wet ditches,  floating mats",NA,"10 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"369","Carex radiata","Straight-styled Wood Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; average to moist soil; woods,  floodplain forest,  pond edges,  wetland margins",NA,"8 to 30 inches","GP: FAC
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"370","Carex retrorsa","Knotsheath Sedge, Deflexed Bottlebrush Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; swamps,  wet thickets,  shores,  sedge meadows,  wet ditches",NA,"4 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"371","Carex richardsonii","","Carex","Cyperaceae (Sedge)","perennial","native","sun; sandy or rocky soil; prairies,  open woods,  bluffs,  barrens,  forest edges",NA,"6 to 12 inches","GP: FAC
MW: UPL
NCNE: UPL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - June","basal",NA,NA,NA,NA,NA,NA,NA
"372","Carex rosea","Starry Sedge, Curly-style Star Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; dro to moist soil; deciduous woods,  mixed forest,  wooded ravines",NA,"8 to 36 inches","GP: FACU
MW: FACU
NCNE: FACU","irregular","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"373","Carex rossii","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; dry,  rocky soil; cliffs,  bluffs",NA,"2 to 10 inches","none","indistinct","alternate","simple","seed without plume","State Threatened","spike",NA,NA,NA,"May - June","basal",NA,NA,NA,NA,NA,NA,NA
"374","Carex rostrata","Glaucus Beaked Sedge, Bottle Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet sandy or peaty soil; shores,  fens,  bogs,  floating mats",NA,"6 to 36 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"375","Carex sartwellii","Running Marsh Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet sandy or mucky soil; fens,  wet meadows,  shores,  marshes,  swales,  ditches",NA,"1 to 4 feet","GP: FACW
MW: FACW
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"376","Carex saximontana","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist to dry; woods,  thickets,  prairies,  wooded slopes",NA,"4 to 14 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - June","basal",NA,NA,NA,NA,NA,NA,NA
"377","Carex scirpoidea","Canadian Single-spike Sedge, Bulrush Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; average to wet; prairies,  fens,  sedge meadows,",NA,"6 to 27 inches","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","simple","seed without plume","State Special Concern","spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
"378","Carex scoparia","Broom Sedge, Lance-fruited Oval Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to wet sandy or rocky soil; shores,  wet ditches,  meadows,  swales,  swamps,  marshes,  rock outcrops,  cliffs",NA,"12 to 40 inches","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - August",NA,NA,NA,NA,NA,NA,NA,NA
"379","Carex siccata","Running Prairie Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; dry,  sandy or rocky soil; prairies,  savannas,  Jack pine stands,  dunes,  rock outcrops,  gravel pits,  roadsides",NA,"6 to 36 inches","GP: UPL
MW: UPL
NCNE: UPL","indistinct","alternate",NA,"seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"380","Carex sparganioides","Thin-leaved Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade; moist to dry; rich woods,  floodplain forest,  forest edges",NA,"12 to 40 inches","GP: FAC
MW: FAC
NCNE: FACU","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"381","Carex sprengelii","Long-beaked Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; average to moist soil; woods,  floodplains,  along shores,  meadows,  river bluffs,  outcrop margins",NA,"1 to 3 feet","GP: FACU
MW: FAC
NCNE: FAC",NA,"alternate","simple","seed without plume",NA,NA,NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"382","Carex sterilis","Dioecious Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; calcareous fens",NA,"6 to 30 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed_without_plume","State Threatened","spike",NA,NA,NA,"June - July",NA,NA,NA,NA,NA,NA,NA,NA
"383","Carex stipata","Common Fox Sedge, Prickly Sedge, Spongy Sedge, Stalk-grained Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; river banks,  shores,  floodplain forest,  wet meadows,  marshes,  swamps",NA,"1 to 3 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"384","Carex stricta","Upright Sedge","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; marshes,  swamps,  bogs,  meadows,  shores,  wet ditches",NA,"2 to 5 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June","basal",NA,NA,NA,NA,NA,NA,NA
"385","Carex sychnocephala","","Carex","Cyperaceae (Sedge)","perennial","native","sun; moist to wet sandy,  silty or peaty soil; shores,  banks",NA,"4 to 16 inches","GP: FACW
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"386","Carex tenera","Delicate Quill Sedge, Marsh Straw Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; wet to dry; deciduous and mixed forest,  thickets,  prairies,  sedge meadows,  shores,  swales,  cliffs,  rock outcrops",NA,"8 to 40 inches","GP: FACW
MW: FACW
NCNE: FAC","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"June - July",NA,NA,NA,NA,NA,NA,NA,NA
"387","Carex tenuiflora","Thin-flowered Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; wet; calcareous fens,  coniferous swamps,  bogs,  wet woods,  floating mats,  shores",NA,"4 to 20 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"388","Carex tonsa","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to dry sandy or rocky soil; open woods,  pine forest,  rock outcrops,  bluffs,  sand prairies,  sandy embankments",NA,"1 to 6 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"May - June","basal",NA,NA,NA,NA,NA,NA,NA
"389","Carex torreyi","","Carex","Cyperaceae (Sedge)","perennial","native","part shade, sun; moist to dry sandy or rocky soil; prairies,  savannas,  meadows,  open woods,  thickets,  wooded bluffs",NA,"6 to 20 inches","GP: UPL
MW: FACU
NCNE: FACU","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"390","Carex tribuloides","Awl-fruited Oval Sedge","Carex","Cyperaceae (Sedge)","perennial","native","part shade, shade, sun; wet; swampy woods,  wet meadows,  floodplain forest",NA,"12 to 40 inches","GP: OBL
MW: OBL
NCNE: FACW","indistinct","alternate","simple","seed_without_plume",NA,"spike",NA,NA,NA,"July - August",NA,NA,NA,NA,NA,NA,NA,NA
"391","Carex trichocarpa","","Carex","Cyperaceae (Sedge)","perennial","native","sun; wet; floodplains,  wet meadows,  swales,  fens,  seeps,  marshes",NA,"16 to 48 inches","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August","basal",NA,NA,NA,NA,NA,NA,NA
